Variable,Description,Type,Value range,Notes,Stage (raw/preprocessed),Required,Keep in .tsv file,trial_type label in .tsv file
totalscore,Total score,Discrete,mutiple of 10,Running total score at this trial,Raw,Yes,Separate column,
fixation2_dur,Actual duration of play trials fixation cross (ITI),Continuous,0-3.5,0.5+3-RT,Raw,Yes,Pivot to duration,iti_fixation
fixation2_fixation2_cross_started,,,,,Raw,No,No,
jitter4,Jitter 4 duration ('Play' display),Continuous,1~4,Play trials only,Raw,Yes,Separate column,
choice_RT,RT for choosing action,Continuous,0-3,Play trials only,Raw,Yes,Separate column,
responded,Responded or not,Nominal,"0,1","1=responded, 0=missed response, only on play trials",Raw,Yes,Separate column,
jitter5,Jitter 5 duration (wait token),Continuous,1~4,Play trials only,Raw,Yes,Separate column,
jitter6,Jitter 6 duration (end ITI),Continuous,0.5,"Play trials only, 0.5",Raw,Yes,Separate column,
scannerTimer_trial_End,Scanner time at end of each trial,Continuous,,,Raw,Yes,Separate column,
scannerTimer_exp_End,Scanner time at end of experiment,Continuous,,,Raw,Yes,Separate column,
pOrder,POrder,Nominal,1-150,Participant number determining order of tasks and stimuli,Raw,Yes,Separate column,
date,Date and time,String, in YYYY_Month_DD_HHMM format (e.g. 2025_Aug_19_1345),,Raw,Yes,Separate column,
expName,Experiment name,String,,,Raw,Yes,Separate column,
psychopyVersion,Version of psychopy used (e.g. 2021.1.2),String,,,Raw,Yes,Separate column,
frameRate,Records the monitor's frame rate (in fps),Continuous,~60 with variation,,Raw,Yes,Separate column,
